# cuerpo, x, y, z, vx, vy, vz, t, masa
1.000000000000000000e+00,1.430707966075781860e+11,2.793387122672002792e+10,0.000000000000000000e+00,-7.785058176379638098e+03,2.796295524259111335e+04,0.000000000000000000e+00,7.590000000000000000e+02,5.972000000000000327e+24
2.000000000000000000e+00,6.769694960160152588e+11,-2.562103465665588760e+10,0.000000000000000000e+00,3.119204437227554649e+02,1.430201344670040999e+04,0.000000000000000000e+00,7.590000000000000000e+02,1.897999999999999950e+27
0.000000000000000000e+00,-1.360419652618513107e+09,-1.010065310058348846e+10,0.000000000000000000e+00,3.917142467596279598e-02,-2.604505929551552157e+01,0.000000000000000000e+00,7.600000000000000000e+02,1.989099999999999888e+30
1.000000000000000000e+00,1.313841937231304474e+11,5.701889799078158569e+10,0.000000000000000000e+00,-1.380452586884145057e+04,2.567580529693140852e+04,0.000000000000000000e+00,7.600000000000000000e+02,5.972000000000000327e+24
2.000000000000000000e+00,6.771387714789005127e+11,-1.017229755039641190e+10,0.000000000000000000e+00,4.996558749645998443e-01,1.430558688265208730e+04,0.000000000000000000e+00,7.600000000000000000e+02,1.897999999999999950e+27
0.000000000000000000e+00,-1.360208398328927279e+09,-1.012877518902013016e+10,0.000000000000000000e+00,3.527287458102271733e-01,-2.603110114607736847e+01,0.000000000000000000e+00,7.610000000000000000e+02,1.989099999999999888e+30
1.000000000000000000e+00,1.134752494208633575e+11,8.295316056251185608e+10,0.000000000000000000e+00,-1.926406110033291407e+04,2.213742836597427959e+04,0.000000000000000000e+00,7.610000000000000000e+02,5.972000000000000327e+24
2.000000000000000000e+00,6.769716960661782227e+11,5.276475255304148674e+09,0.000000000000000000e+00,-3.109220294552189898e+02,1.430205586538726493e+04,0.000000000000000000e+00,7.610000000000000000e+02,1.897999999999999950e+27
0.000000000000000000e+00,-1.359659819502199888e+09,-1.015687666395423317e+10,0.000000000000000000e+00,6.636840293345527275e-01,-2.600691545108287883e+01,0.000000000000000000e+00,7.620000000000000000e+02,1.989099999999999888e+30
1.000000000000000000e+00,9.008426141128683472e+10,1.044363346657750702e+11,0.000000000000000000e+00,-2.391190885642687499e+04,1.745009846483495494e+04,0.000000000000000000e+00,7.620000000000000000e+02,5.972000000000000327e+24
2.000000000000000000e+00,6.764683641300053711e+11,2.071761182734661102e+10,0.000000000000000000e+00,-6.221675167836420997e+02,1.429142287128090902e+04,0.000000000000000000e+00,7.620000000000000000e+02,1.897999999999999950e+27
